Time,Voltage,Current,Temperature,SOC
0.0,4.17996286033009,1.42894555504044e-06,25.562,1.0
0.1,4.17996286033009,5.95402891773532e-07,25.562,0.999999999991948
0.2,4.17996286033009,2.77900265770701e-07,25.562,0.999999999988593
0.3,4.17996286033009,7.93865258192338e-08,25.562,0.999999999987028
0.4,4.17996286033009,3.9694652042694e-08,25.562,0.99999999998658
0.5,4.17996286033009,3.96929320844566e-08,25.562,0.999999999986357
0.6,4.17996286033009,3.96929320844566e-08,25.562,0.999999999986133
0.7,4.17996286033009,3.96929320844566e-08,25.562,0.999999999985909
0.8,4.17996286033009,3.96929320844566e-08,25.562,0.999999999985686
0.9,4.17996286033009,3.96929320844566e-08,25.562,0.999999999985462
1.0,4.17996286033009,3.96929320844566e-08,25.562,0.999999999985239
1.1,4.17996286033009,3.96929320844566e-08,25.562,0.999999999985015
1.2,4.17996286033009,3.96929320844566e-08,25.5650399695923,0.999999999984791
1.3,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999984568
1.4,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999984344
1.5,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999984121
1.6,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999983897
1.7,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999983673
1.8,4.17996286033009,3.96929320844566e-08,25.56504,0.99999999998345
1.9,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999983226
2.0,4.17996286033009,3.96929320844566e-08,25.56504,0.999999999983003
2.1,4.17996286033009,3.96929320844566e-08,25.562,0.999999999982779
2.2,4.17996286033009,3.96929320844566e-08,25.562,0.999999999982555
2.3,4.17996286033009,3.96929320844566e-08,25.562,0.999999999982332
2.4,4.17996286033009,3.96929320844566e-08,25.562,0.999999999982108
2.5,4.17996286033009,3.96929320844566e-08,25.562,0.999999999981885
2.6,4.17996286033009,3.96929320844566e-08,25.562,0.999999999981661
2.7,4.17996286033009,3.96929320844566e-08,25.562,0.999999999981437
2.8,4.17996286033009,3.96929320844566e-08,25.562,0.999999999981214
2.9,4.17996286033009,3.96929320844566e-08,25.5650363925333,0.99999999998099
3.0,4.17996286033009,2.13634630285117e-05,25.56504,0.999999999980767
3.1,4.16776446178793,0.341305053294431,25.56504,0.999999999860396
3.2,4.16738151582668,0.341607887294078,25.56504,0.999998076798342
3.3,4.16719028686928,0.34165597078025,25.56504,0.999996152029989
3.4,4.16699964645298,0.34167799774469,25.56504,0.999994226990712
3.5,4.16699937066018,0.341691058911998,25.56504,0.999992301827326
3.6,4.16699937066018,0.341688710403744,25.56504,0.999990376590348
3.7,4.16680900689809,0.341697030412584,25.56504,0.999988451366602
3.8,4.16680873110621,0.341705920322378,25.56504,0.999986526095978
3.9,4.16661836799433,0.341714217481305,25.56504,0.999984600775264
4.0,4.16661809155224,0.342289255731729,25.56504,0.9999826754078
4.1,4.13612188742068,1.19272130783305,25.56504,0.999980746800319
4.2,4.13497358416298,1.19347812853786,25.56504,0.999974026486437
4.3,4.13459121329955,1.19372202013386,25.56504,0.999967301908295
4.4,4.13440116260636,1.19391439600859,25.56504,0.999960575955962
4.5,4.1340192845304,1.1939876235042,25.56504,0.999953848919699
4.6,4.13382836406325,1.19403279444184,25.56504,0.99994712147084
4.7,4.13344736328353,1.19410491660775,25.56504,0.999940393767468
4.8,4.13325644667043,1.19420410959468,25.56504,0.999933665657728
4.9,4.13306601185298,1.19430327494738,25.56504,0.999926936989092
5.0,4.13287570437992,1.19431249766422,25.56504,0.999920207761714
5.1,4.09743735532705,2.18689199025142,25.56504,0.999913478482372
5.2,4.09627698411944,2.18960863647273,25.56504,0.999901156575733
5.3,4.09551467499159,2.19037522812997,25.56504,0.99988881936232
5.4,4.09512989092864,2.19077720103359,25.56504,0.999876477829595
5.5,4.09474860776761,2.19101249065728,25.56504,0.999864134031978
5.6,4.09436732992517,2.19122012020883,25.56504,0.999851788908636
5.7,4.09398605082267,2.1914366066464,25.56504,0.999839442615419
5.8,4.09379459596958,2.19153634053641,25.56504,0.999827095102422
5.9,4.09341413088983,2.19177034780957,25.56504,0.999814747027481
6.0,4.09303285178189,2.19191509625165,25.56504,0.999802397634041
6.1,4.06102795393541,3.08703492607926,25.56504,0.999790047425025
6.2,4.05967499111419,3.09107731329133,25.56504,0.999772653719108
6.3,4.05909982139347,3.09218461035026,25.56504,0.999755237236613
6.4,4.05852792550986,3.09276318022132,25.56504,0.999737814515121
6.5,4.05814582358388,3.09306211788172,25.56504,0.999720388533713
6.6,4.0577645318099,3.09338678009728,25.56504,0.99970296086796
6.7,4.05738327162951,3.09372054250026,25.56504,0.999685531372918
6.8,4.05700197362112,3.09403643284729,25.56504,0.999668099997312
6.9,4.0566206944319,3.09427136437594,25.56504,0.999650666841842
7.0,4.05623941658947,3.0945957859145,25.56504,0.999633232362665
7.1,4.02328108326838,4.01190862428625,25.56504,0.999615796055554
7.2,4.02211818239053,4.01870409859742,25.56504,0.999593191206421
7.3,4.02154382735513,4.02029369302623,25.56504,0.99957054806861
7.4,4.02097190869321,4.02104867752958,25.56504,0.999547895974329
7.5,4.0204000052171,4.02170768053864,25.56504,0.999525239626135
7.6,4.01982807143438,4.02224952983948,25.56504,0.999502579564829
7.7,4.01925615080921,4.02270999785893,25.5620129403098,0.999479916450507
7.8,4.01887406146964,4.02317908871882,25.562,0.999457250741707
7.9,4.01849281273708,4.02363023972082,25.562,0.999434582389844
8.0,4.01811154768055,4.02398253522973,25.562,0.999411911495998
