Time,Current
0.0,1.42894555504044e-06
0.1,5.95402891773532e-07
0.2,2.77900265770701e-07
0.3,7.93865258192338e-08
0.4,3.9694652042694e-08
0.5,3.96929320844566e-08
0.6,3.96929320844566e-08
0.7,3.96929320844566e-08
0.8,3.96929320844566e-08
0.9,3.96929320844566e-08
1.0,3.96929320844566e-08
1.1,3.96929320844566e-08
1.2,3.96929320844566e-08
1.3,3.96929320844566e-08
1.4,3.96929320844566e-08
1.5,3.96929320844566e-08
1.6,3.96929320844566e-08
1.7,3.96929320844566e-08
1.8,3.96929320844566e-08
1.9,3.96929320844566e-08
2.0,3.96929320844566e-08
2.1,3.96929320844566e-08
2.2,3.96929320844566e-08
2.3,3.96929320844566e-08
2.4,3.96929320844566e-08
2.5,3.96929320844566e-08
2.6,3.96929320844566e-08
2.7,3.96929320844566e-08
2.8,3.96929320844566e-08
2.9,3.96929320844566e-08
3.0,2.13634630285117e-05
3.1,0.341305053294431
3.2,0.341607887294078
3.3,0.34165597078025
3.4,0.34167799774469
3.5,0.341691058911998
3.6,0.341688710403744
3.7,0.341697030412584
3.8,0.341705920322378
3.9,0.341714217481305
4.0,0.342289255731729
4.1,1.19272130783305
4.2,1.19347812853786
4.3,1.19372202013386
4.4,1.19391439600859
4.5,1.1939876235042
4.6,1.19403279444184
4.7,1.19410491660775
4.8,1.19420410959468
4.9,1.19430327494738
5.0,1.19431249766422
5.1,2.18689199025142
5.2,2.18960863647273
5.3,2.19037522812997
5.4,2.19077720103359
5.5,2.19101249065728
5.6,2.19122012020883
5.7,2.1914366066464
5.8,2.19153634053641
5.9,2.19177034780957
6.0,2.19191509625165
6.1,3.08703492607926
6.2,3.09107731329133
6.3,3.09218461035026
6.4,3.09276318022132
6.5,3.09306211788172
6.6,3.09338678009728
6.7,3.09372054250026
6.8,3.09403643284729
6.9,3.09427136437594
7.0,3.0945957859145
7.1,4.01190862428625
7.2,4.01870409859742
7.3,4.02029369302623
7.4,4.02104867752958
7.5,4.02170768053864
7.6,4.02224952983948
7.7,4.02270999785893
7.8,4.02317908871882
7.9,4.02363023972082
8.0,4.02398253522973
8.1,4.26293553841425
8.2,4.26695478466411
8.3,4.26794801291994
