CHARGE_T05_soc,CHARGE_T05_ocv,CHARGE_T05_r0,CHARGE_T05_r1,CHARGE_T05_r2,CHARGE_T05_c1,CHARGE_T05_c2,CHARGE_T15_soc,CHARGE_T15_ocv,CHARGE_T15_r0,CHARGE_T15_r1,CHARGE_T15_r2,CHARGE_T15_c1,CHARGE_T15_c2,CHARGE_T25_soc,CHARGE_T25_ocv,CHARGE_T25_r0,CHARGE_T25_r1,CHARGE_T25_r2,CHARGE_T25_c1,CHARGE_T25_c2,CHARGE_T35_soc,CHARGE_T35_ocv,CHARGE_T35_r0,CHARGE_T35_r1,CHARGE_T35_r2,CHARGE_T35_c1,CHARGE_T35_c2,CHARGE_T45_soc,CHARGE_T45_ocv,CHARGE_T45_r0,CHARGE_T45_r1,CHARGE_T45_r2,CHARGE_T45_c1,CHARGE_T45_c2,CHARGE_T55_soc,CHARGE_T55_ocv,CHARGE_T55_r0,CHARGE_T55_r1,CHARGE_T55_r2,CHARGE_T55_c1,CHARGE_T55_c2,DISCHARGE_T05_soc,DISCHARGE_T05_ocv,DISCHARGE_T05_r0,DISCHARGE_T05_r1,DISCHARGE_T05_r2,DISCHARGE_T05_c1,DISCHARGE_T05_c2,DISCHARGE_T15_soc,DISCHARGE_T15_ocv,DISCHARGE_T15_r0,DISCHARGE_T15_r1,DISCHARGE_T15_r2,DISCHARGE_T15_c1,DISCHARGE_T15_c2,DISCHARGE_T25_soc,DISCHARGE_T25_ocv,DISCHARGE_T25_r0,DISCHARGE_T25_r1,DISCHARGE_T25_r2,DISCHARGE_T25_c1,DISCHARGE_T25_c2,DISCHARGE_T35_soc,DISCHARGE_T35_ocv,DISCHARGE_T35_r0,DISCHARGE_T35_r1,DISCHARGE_T35_r2,DISCHARGE_T35_c1,DISCHARGE_T35_c2,DISCHARGE_T45_soc,DISCHARGE_T45_ocv,DISCHARGE_T45_r0,DISCHARGE_T45_r1,DISCHARGE_T45_r2,DISCHARGE_T45_c1,DISCHARGE_T45_c2,DISCHARGE_T55_soc,DISCHARGE_T55_ocv,DISCHARGE_T55_r0,DISCHARGE_T55_r1,DISCHARGE_T55_r2,DISCHARGE_T55_c1,DISCHARGE_T55_c2
0.4,3.608407148,0.030126358,0.026927684,0.021550429,1354.279522,36829.2638,0.4,3.619282372,0.020684497,0.018783873,0.014211953,1496.355066,33392.4785,0.4,3.620252015,0.014507691,0.013766656,0.011337627,1631.51603,32213.31342,0.4,3.619295719,0.010538049,0.010606629,0.009485403,1758.001541,32179.43983,0.4,3.618397675,0.007939576,0.008548672,0.008143289,1807.30556,31925.34863,0.4,3.617629959,0.006182872,0.007279511,0.007092705,1815.064228,31977.48018,0.4,3.606326689,0.030292485,0.037467627,0.02641206,1093.338968,28757.64895,0.4,3.606089026,0.020709452,0.0262513,0.018626854,1315.808922,26288.07893,0.4,3.606430794,0.014423372,0.01868869,0.014620923,1592.939116,24707.66171,0.4,3.606650742,0.010426468,0.013682839,0.012110271,1864.577646,23368.07542,0.4,3.60667722,0.00783699,0.010425194,0.010408827,2058.202225,22122.68461,0.4,3.606547957,0.006097816,0.008378814,0.00915228,2127.714806,21215.6352
0.44,3.632794934,0.028881752,0.030365197,0.020724954,1337.788635,40810.40883,0.44,3.64471826,0.019829343,0.020416208,0.013087006,1496.811671,29716.98364,0.44,3.64582928,0.013952765,0.014641773,0.010582621,1713.801969,27466.45124,0.44,3.644931591,0.010176591,0.011075277,0.008916211,1946.951889,27128.41143,0.44,3.644127423,0.007696298,0.008844452,0.007673892,2140.192675,27310.95264,0.44,3.64346513,0.006012092,0.007579222,0.006644736,2297.069832,28758.48998,0.44,3.631105344,0.029510279,0.035782648,0.020754099,1098.051087,31355.12314,0.44,3.631193951,0.02015323,0.024396304,0.015223263,1293.753746,25756.91534,0.44,3.631658549,0.014044865,0.016915938,0.012388589,1525.548641,23222.70592,0.44,3.632021151,0.01016726,0.012645844,0.010244405,1816.662568,24588.11785,0.44,3.632113236,0.007653845,0.009191477,0.009050887,1889.680688,21240.59115,0.44,3.632113,0.005963667,0.007470449,0.007892899,1968.954985,21369.92705
0.48,3.661305171,0.02798079,0.032293467,0.015620586,1291.339428,51608.27784,0.48,3.673427593,0.019166616,0.025072092,0.011393365,1555.94647,66532.972,0.48,3.67447191,0.013502395,0.019207485,0.008667539,1895.24764,71642.73261,0.48,3.673311187,0.009874305,0.011286049,0.01041373,1784.48763,18321.89884,0.48,3.673404298,0.007489254,0.000895994,0.012241543,9238.764418,1119.602852,0.48,3.671612881,0.005865628,0.011911225,0.004231912,3093.124343,169491.9598,0.48,3.656926309,0.028682077,0.033252921,0.015978617,1047.921598,27803.9815,0.48,3.657561976,0.019596377,0.022497453,0.012843676,1202.809725,22931.35796,0.48,3.658195821,0.013679914,0.015506498,0.010693126,1374.377444,21241.90328,0.48,3.658611141,0.009925153,0.011216936,0.009001537,1533.526287,21156.37354,0.48,3.658829421,0.007487385,0.0086261,0.007663412,1642.469226,21716.09546,0.48,3.658906774,0.00584431,0.0071486,0.006570362,1716.289884,22989.54778
0.52,3.694835458,0.027440122,0.027529069,0.020714291,1019.96791,13228.73534,0.52,3.709036398,0.018753104,0.026292122,0.013653877,1404.732981,37292.94126,0.52,3.710838113,0.013204789,0.008455278,0.01844751,130.9908467,5799.505326,0.52,3.70839193,0.009662729,0.017554234,0.008010639,2145.940495,76050.39271,0.52,3.707530449,0.007336997,0.009863874,0.009205536,1835.611932,17370.88179,0.52,3.706366119,0.005753624,0.013344084,0.004077531,3110.150184,115916.217,0.52,3.687176891,0.027698902,0.031533382,0.013780523,952.5738861,24873.42202,0.52,3.688240777,0.01895305,0.021820479,0.011245481,1072.504249,22704.37823,0.52,3.689098823,0.013277721,0.01542817,0.009217098,1193.634344,22969.58924,0.52,3.689654108,0.009670179,0.011516522,0.007559885,1293.32875,24910.0906,0.52,3.689970514,0.00731923,0.009198019,0.006217918,1372.22236,28092.75461,0.52,3.690116851,0.005728157,0.007830549,0.005165031,1423.721581,31971.93558
0.56,3.73781352,0.027086549,0.033065577,0.023133892,1090.274584,22477.2279,0.56,3.755505595,0.018484628,0.025371999,0.016171048,1307.943198,24205.10566,0.56,3.755802371,0.013006472,0.023618944,0.012152071,1823.066174,67411.11347,0.56,3.753958255,0.009517107,0.018989651,0.009236219,2102.887236,70824.09181,0.56,3.752476379,0.007228762,0.016828279,0.006111086,2651.973229,117027.6118,0.56,3.751196297,0.005671498,0.014846484,0.005299188,2745.322372,168204.343,0.56,3.727357018,0.026912524,0.031983732,0.014903913,932.9018923,29981.00559,0.56,3.727670103,0.018413134,0.022020123,0.011143613,984.6865551,24091.92208,0.56,3.728728776,0.012941447,0.015613597,0.008907132,1037.40937,23022.83946,0.56,3.729566894,0.009458139,0.011847775,0.007165587,1084.516046,25262.63278,0.56,3.731264402,0.007179703,0.012606501,0.009748027,2177.399089,115512.2775,0.56,3.731804907,0.005631857,0.010850244,0.011108185,2352.793563,133161.8211
0.6,3.801060246,0.026695162,0.027799058,0.016937738,1035.99738,27201.02669,0.6,3.818253479,0.018210237,0.021702263,0.01256403,1230.16245,34393.71818,0.6,3.819118537,0.012817056,0.016800018,0.008334814,1422.814961,33046.57944,0.6,3.81685442,0.009384246,0.014396432,0.005789482,1438.618371,49690.64729,0.6,3.815632383,0.007132988,0.00036756,0.013532543,14630.12933,1105.742648,0.6,3.813881311,0.005600328,0.009644089,0.003935157,847.3602211,33390.93433,0.6,3.785014623,0.026532725,0.03579567,0.027108104,989.5198364,31719.59851,0.6,3.783362784,0.018109093,0.026309452,0.015289297,1125.049144,37263.76371,0.6,3.784165279,0.012735031,0.019824272,0.010200524,1278.831431,42442.14597,0.6,3.785055678,0.00931913,0.015571276,0.007178511,1387.387719,48484.98423,0.6,3.785579898,0.007083181,0.012804371,0.005250004,1435.900853,55981.95355,0.6,3.785814702,0.005562386,0.010967367,0.004006798,1404.735252,63707.62433
0.64,3.857404527,0.026228716,0.000404767,0.02707026,7141.831405,760.2887324,0.64,3.873308458,0.017908917,0.001617634,0.019192691,836.655968,849.943112,0.64,3.873349738,0.012622964,0.015295184,0.006401797,1411.785334,82607.26069,0.64,3.870898438,0.009255709,0.012798045,0.01125359,1903.52499,106445.5883,0.64,3.869292434,0.007044442,0.010513933,0.013654542,1609.467407,98785.67142,0.64,3.868554306,0.005536744,0.009177552,0.012129821,1966.66238,102632.7456,0.64,3.840390713,0.026296647,0.036519537,0.036422971,961.2262776,23639.49405,0.64,3.8423388,0.017912441,0.027467636,0.027848571,1121.558382,23717.4457,0.64,3.844875551,0.012591308,0.021371352,0.021321759,1299.958055,24807.46405,0.64,3.846799331,0.009217481,0.017363706,0.016369067,1496.643874,26162.08116,0.64,3.848083718,0.00701042,0.014847044,0.012976997,1695.814432,28272.60317,0.64,3.848818887,0.005508981,0.013035824,0.01067369,1819.184473,29441.34642
0.68,3.892543634,0.025851302,0.029057206,0.009170195,1224.033512,105384.095,0.68,3.908026505,0.017654278,0.020437476,0.006302465,1488.660375,47910.06783,0.68,3.909031209,0.012457337,0.016959955,0.006894316,1769.658387,129813.0197,0.68,3.908489916,0.009146695,0.013376394,0.004652616,2239.631886,133996.4704,0.68,3.907500861,0.006970408,0.01121217,0.005633648,2246.16078,195209.564,0.68,3.907188844,0.005484527,0.009292278,0.004984354,1800.225862,165198.5928,0.68,3.883681881,0.026196431,0.03417137,0.021745654,866.8059002,30094.19783,0.68,3.886417968,0.017834334,0.025478359,0.01739969,968.8912216,30732.31966,0.68,3.888780197,0.012533759,0.019825187,0.016156469,1129.888167,27029.2285,0.68,3.890469695,0.00917608,0.01640756,0.01304503,1398.390241,29675.22703,0.68,3.891476415,0.006980268,0.013649836,0.011715988,1565.88726,26813.31233,0.68,3.892407103,0.005486481,0.013651517,0.006417108,2204.735927,63512.79827
0.72,3.926205784,0.025704403,0.028752419,0.010586351,1068.603739,51678.18801,0.72,3.941087523,0.017527217,0.022921295,0.009804815,1350.325279,104696.4574,0.72,3.943149302,0.012359364,0.017893421,0.006900928,1805.093679,134336.8159,0.72,3.942843884,0.009073995,0.01272473,0.004923395,2162.571972,53778.02464,0.72,3.941925465,0.006917157,0.01199058,0.004355475,2596.72266,195805.2393,0.72,3.94155278,0.0054455,0.010369561,0.003780536,2784.281518,223659.7433,0.72,3.920695699,0.025993625,0.033241561,0.033892392,822.3739312,15046.10979,0.72,3.922857825,0.017685207,0.024679777,0.02426959,977.4519629,15774.23757,0.72,3.925995477,0.01243629,0.025313451,0.093816064,1506.674911,9462.810109,0.72,3.926757109,0.009112354,0.021478124,0.078236779,1977.375125,11940.30558,0.72,3.927402993,0.006936494,0.018710684,0.086968775,2421.00139,12729.23661,0.72,3.927779703,0.005454786,0.016478276,0.087047194,2791.502919,14136.03239
0.76,3.962213072,0.025753117,0.02883792,0.009659654,998.828701,47162.89147,0.76,3.979704967,0.017543588,0.023312431,0.005860903,1382.169836,152283.0254,0.76,3.982758031,0.012356496,0.000767895,0.016963867,2872.893278,1154.105961,0.76,3.981321533,0.009061139,0.011559223,0.00411627,2358.119736,25548.25522,0.76,3.980178209,0.006899852,0.012029012,0.002708798,2504.788813,376708.7029,0.76,3.979719118,0.005428143,0.0104645,0.002272252,2973.195231,437027.0004,0.76,3.9574799,0.025821845,0.033609593,0.027646458,898.6703564,15199.40231,0.76,3.959436794,0.017576955,0.025203494,0.020780851,1083.094746,15911.20173,0.76,3.960864134,0.012372332,0.019861068,0.015377732,1381.313232,18306.26658,0.76,3.961844694,0.009072645,0.016713628,0.011348611,1798.0058,23211.61027,0.76,3.962520977,0.006910089,0.01372677,0.008959102,2064.259213,24642.55865,0.76,3.963012557,0.00543608,0.01302351,0.00683121,2497.699742,39915.44706
